COD_IBGE;POP;IDH municipal;IDH renda;IDH longevidade;IDH educacao
4122156;13955;0,629;0,631;0,792;0,498
4125100;13725;0,629;0,655;0,801;0,475
4110078;11619;0,622;0,636;0,785;0,481
4126678;12115;0,621;0,628;0,829;0,46
4121703;26786;0,618;0,65;0,786;0,461
4115457;4348;0,614;0,615;0,814;0,463
4127882;8617;0,611;0,641;0,801;0,444
4117305;26078;0,609;0,632;0,811;0,441
4123857;9811;0,609;0,6;0,79;0,477
4107124;3173;0,608;0,605;0,777;0,479
4106456;7007;0,6;0,609;0,792;0,447
4110201;10776;0,6;0,623;0,765;0,454
4109500;7446;0,587;0,587;0,792;0,434
4113254;5628;0,585;0,581;0,79;0,436
4105201;16145;0,573;0,604;0,797;0,391
4128633;6216;0,546;0,57;0,791;0,362
